feast_code,LFRI_name
14080200,"Stephani, pontificis"
14080300,"Stephani, inventio"
14080430,Dominici
14080520,Mariae ad Nives
14080530,Aemigdii
14080600,Transfiguratio Domini
14080610,Sixti et sociorum
14080630,"Justi, Pastoris"
14080700,Donati
14080720,Alberti de Abbatibys
14080800,Cyriaci et sociorum
14080910,"Laurentii, vig."
14081000,Laurentii
14081008,"Laurentii, infra oct."
14081100,"Tiburtii, Susannae"
14081120,De Corona Spinea
14081130,Taurini
14081200,Clarae
14081300,Hippolyti
14081400,Eusebii Romanae
14081410,"Assumptio Mariae, vig."
14081500,Assumptio Mariae
14081501,"Assumptio Mariae, dom. infra oct."
14081508,"Assumptio Mariae, infra oct."
14081700,"Laurentii, oct."
14081800,Agapiti
14081830,Helenae
14081900,Ludovici Toul.
14082010,Bernardi
14082018,"Bernardi, infra oct."
14082200,Symphoriani
14082210,"Assumptio Mariae, oct."
14082300,"Timothei, Apollinaris"
14082320,"Bartholomaei, vig."
14082400,Bartholomaei
14082500,Ludovici
14082530,Genesii
14082700,Caesarii
14082800,Augustini
14082820,Rufi
14082830,Hermetis
14082860,"Juliani, Hermetis"
14082900,"Jonnis Baptistae, decol."
14082910,Sabinae
14083000,"Felicis, Adaucti"
14083130,"Bartholomaei, oct."
14090100,Aegidii
14090110,Lupi
14090200,Antonini
14090420,Marcelli
14090700,Evurtii
14090800,Nativitas Mariae
14090801,"Nativitas Mariae, dom. infra octava"
14090808,"Nativitas Mariae, infra oct."
14090900,Gorgonii
14091030,Nicolai de Tolentino
14091100,"Proti, Hiacinthi"
14091200,Sanctissimi Nominis BMV
14091400,Exaltatio Crucis
14091500,Reliquiarum
14091530,Nicomedis
14091540,"Nicomedis, Valeriani"
14091550,BMV perdolentis (Matris dolorosae)
14091560,"Vincentii, translatio"
14091600,"Cornelii, Cypriani"
14091610,Euphemiae
14091701,Hildegardis Bingensis
14091710,"Francisci, Sacrorum Stigmatum"
14092010,Eustachii
14092020,"Matthaei, vig."
14092100,Matthaei
14092108,"Matthaei, infra oct."
14092200,Mauritii et sociorum
14092300,Theclae
14092310,"Clarae, inventio"
14092700,"Cosmae, Damiani"
14092900,Michaelis
14093000,Hieronimi
14093008,"Hieronimi, infra oct."
14100100,Remigii
14100200,Leodegarii
14100220,Angeli Custodis
14100340,"Clarae, transl."
14100400,Francisci
14100408,"Francisci, infra oct."
14100600,Fidis
14100610,Brunonis
14100700,"Marci, Pont."
14100730,BMV a Rosario
14100820,"Sergii, Bacchi"
14100900,Dionysii
14101030,Francisci Borgiae
14101120,"Augustini, transl. prima"
14101300,Geraldi Aureliaci
14101400,Callisti
14101500,Teresiae Avilensis
14101800,Lucae
14101810,Justi
14101920,Petri Alcantarae
14101930,"Sabiniani, Potentiani"
14102010,Irenes
14102100,XI milium Virginum
14102110,Ursulae
14102210,Mariae Salome
14102340,Joannis Capistranensis
14102410,Raphaelis
14102700,"Simonis, Judae, vig."
14102800,"Simonis, Judae"
14103010,De victoriae christianorum apud Salado
14103120,"Om. Sanctorum, vig."
14110100,Omnium Sanctorum
14110108,"Omnium Sanctorum, infra oct."
14110160,Austremonii
14110200,Lauteni
14110220,Malachiae
14110360,"Valentini, Hylarii"
14110400,Flori
14110610,Leonardi
14110800,Quattuor Coronatorum
14110910,Theodori Tiro
14111030,"Martini, vig."
14111100,Martini
14111101,"Martini, dom. infra oct."
14111108,"Martini, infra oct."
14111110,Mennae
14111300,Briccii
14111308,"Briccii, infra oct."
14111340,Didaci
14111550,Alberti Magni
14111620,Edmundi Rich
14111700,Gregorii Thauma.
14111740,Hugonis Lincolniensis
14111800,"Martini, oct."
14111900,Elisabeth Hungariae
14112100,Praesentatio Mariae
14112200,Caeciliae
14112208,"Caeciliae, infra oct."
14112300,Clementis
14112308,"Clementis, infra oct."
14112310,Felicitatis
14112500,Catharinae
14112630,Leonardi a Porto Mauritio
14112900,Saturnini
14112910,"Chrysanthi, Dariae"
14112920,"Andreae, vig."
14113000,Andreae
14113008,"Andreae, infra oct."
14120300,Francisci Xaverii
14120400,Barbarae
14120510,Geraldi Archiepiscopi Bracharensis
14120600,Nicolai
14120710,"Andrae, oct."
14120800,Conceptio Mariae
14120900,Syri
14120920,Leocadiae
14121010,Eulaliae Emeritensis
14121100,Damasi
14121300,Luciae
14121810,Exspectationis BMV
14122100,Thomae
14122900,Thomae Cant.
14123020,"Jacobi, transl."
14123100,Silvestri
14123110,Columbae
15001000,Suff. pro Pace
15002000,De Spiritu Sancto
15003000,Suff. pro paenitentibus
15008000,De BMV
15008010,De BMV Adv.
15008030,De BMV Nat.
15008050,De BMV post Epiph.
15008080,De BMV TP
15011000,De Sancta Cruce
15031050,BMV ab Exsilio
15050300,Suff. Crucis
15050380,Suff. Crucis TP
15081580,Suff. Mariae TP
15110180,Suff. Omnium Sanctorum TP
15122700,Suff. Joannis Evang.
16009000,Ad Processionem
16010000,Ad aquam benedictio
16012000,Ad Missam
16013000,Ad visitandum infirmum
16013030,Pro infirmis
16015000,De festis semiduplicibus
16016000,De festis duplicibus
16016001,De festis duplicibus minoribus
16018000,In tempore pestilentiae
16019000,Pro pace regni
16019010,Pro pace
16020000,Pro pluvia
16021000,In tempore belli contra Sarracenos
16022000,In tempore oritur inter Christianos
16023000,Ad aspersionem aquae benedictae
16023080,Ad aspersionem aquae benedictae TP
16024000,Ad lavandum altaria
16025000,Pro caritate
16026000,Pro tribulatione
16027000,Pro salute vivorum
16028000,Pro sacerdote
16029000,Pro amico
16030000,Pro iter agentibus
16031000,Pro febribus
16033000,Pro ordinatione clerici
16039000,De festis simplicibus
16042000,Pro serenitate
16044000,Pro sponso et sponsa
16045000,Pro remissione peccatorum
16050000,Pro quacumque necessitate
16052000,Pro adversitate Ecclesiae
17001000,Additamenta
,"Quadrag., hebd. 1, sabbato Q.T."
,Agnetis de Monte Politiano
,Angeli
,Angeli Custodis Regni
,"Augustini, transl. secunda"
,Benedicti Massarari
,"Bernardi, oct."
,BMV de Loreto
,BMV de Pietate
,BMV Reginae
,Caietani Thienae
,Catharinae de Ricci
,Coletae Boylet
,Compassionis BMV
,Danielis et sociorum
,Descensio Mariae
,Desponsationis B. Mariae Virginis cum Sancto Joseph
,Dismae
,"Eutropii, Zozimae, Bonosae"
,Felicis de Cantalicio
,Fidelis de Sigmaringa
,Francisci Solani
,Fugae D. N. J. C. in Aegyptum
,Guillermi
,Gundisalvi de Amarantho
,Gundisalvi de Lagos
,"Hieronimi, transl."
,Hieronimi Aemiliani
,Hyacinthi
,"Ignatii, confessoris"
,Immaculati Cordis BMV
,Isidori
,Jacobi de Marchia
,Joannae Franciscae de Chantal
,Joannis a Cruce
,Joannis Cantii (de Ketty)
,Joannis Damasceni
,Joannis Josephi a Cruce
,Josephi Calasanctii
,Josephi de Cupertino
,Julianae de Falconeriis
,Laurentii Giustiniani
,Ludovici Bertrandi
,Margarita Maria Alacoque
,Mariae Magdalenae de Pazzis
,Martinae
,Maternitatis BMV
,Norberti
,Patrocinii Sancti Josephi
,Petri Alexandrini
,Petri Nolasco
,Pii I
,Pii V
,Pulcheriae
,Puritatis BMV
,Quinque Plagarum Domini
,Raymundi de Penyafort
,Ritae de Cassia
,Rochi
,Rosae a S. Maria
,Rosae Viterbiensis
,Sanctissimi Redemptoris
,Sanctorum Martyrum Japponensium (Petrus Baptista et soc.)
,Sebastiani
,Simonis
,"Teresiae Avilensis, Transverberatio Cordis"
,Theotonii
,Thyrsi
,Thyrsi et sociorum
,Thomae de Villanova
,Triumphi Sanctae Crucis apud Navas Tolosae
,"Comm. sanctae Virginum tantum, et nec Virginis nec Martyris"
,Ad recipiendum prelatum vel legatum
,Cantica Canticorum
,Cant. Canticorum Adv.
,Cant. Canticorum post Epiph.
,De Passione Domini
,De planctu BMV
,De sanctis Petri et Pauli
,De Sanctissima Eucharistia
,"De Trinitate, vot."
,Ad tollendum schisma
,Contra paganos
,In anniversario electionis Episcopi
,In tempore belli
,Pro eligendo summo Pontifice
,Pro fidei propagatione
,Pro navigantibus
,Pro peregrinantibus
,Pro petione lachrimarum
,Pro Regno Portugaliae
,Pro unitate Ecclesiae
,Pro vitanda mortalitate
